Hash,Type,Comment
4DC9F9684F715F50946E85557B82AF80FCB45576EFAD47EEE1BF054C15E570F0,SHA256,Imported from STIX CISA Akira Ransomware
77D48E8C13CE066B197905CC8FC69969AF69B74D25F5E95DCD1302ADA2E7CCEC,SHA256,Imported from STIX CISA Akira Ransomware
EF328F68C6D865BA4EF4223B5D8EE9EFB5667420,SHA1,Imported from STIX CISA Akira Ransomware
08CF869A19C76CA718BA80EF73636E7BC38218B8,SHA1,Imported from STIX CISA Akira Ransomware
CFA209D56E296C40B32815270060E539963D68CDA3285C5F393C97EB3C960D37,SHA256,Imported from STIX CISA Akira Ransomware
D5EFAA22A74AAB87D17F8666686B554E41FB389A,SHA1,Imported from STIX CISA Akira Ransomware
C56B31C9080B993D57C100B91D096C33,MD5,Imported from STIX CISA Akira Ransomware
C0F706FF43936C1BB19DB4F39B11129C3FC8DDAFBD159852475EF99A246B2F79,SHA256,Imported from STIX CISA Akira Ransomware
3A25D3F82651567E5760E48AD06C9F6CAAB4F9FDC071E98919163B3A71E67168,SHA256,Imported from STIX CISA Akira Ransomware
7266E2AFB5C70788C018D684698B0940EDED4CB863F2B33F4EDD31B59D1EAB1D,SHA256,Imported from STIX CISA Akira Ransomware
8E12C8EB39CEC9A414B56A36ACBCC1A5B31DC96A38BC668138A00F94F7C26EA5,SHA256,Imported from STIX CISA Akira Ransomware
BFD5FC6CD3DEA74738AC7025FA14EA844F400708DF2293572796568F65BD6B61,SHA256,Imported from STIX CISA Akira Ransomware
CF3465D7E49B609DEFA1E2B6CFCC86FFA30C72246CB2744DBF50736C5F3D74D5,SHA256,Imported from STIX CISA Akira Ransomware
814310FB7A59F23E3E137EE6FEE04FA1,MD5,Imported from STIX CISA Akira Ransomware
24E19D29A47B6B5E1A39BF5E4C313194,MD5,Imported from STIX CISA Akira Ransomware
2FED7579556F01161BB1FDFD1C3E9E6C,MD5,Imported from STIX CISA Akira Ransomware
17C624693F5DD575485EC4286B0BA786,MD5,Imported from STIX CISA Akira Ransomware
57D1AEB41D9CFEA4D6899724BC4B09A5,MD5,Imported from STIX CISA Akira Ransomware
58AFEF43CEC0EE7A2FBFD9CDD5B71F55F971672D5E523A400B82B98C752CA5B7,SHA256,Imported from STIX CISA Akira Ransomware
6B7BBA769DB3701E13214CB70CA5A54D,MD5,Imported from STIX CISA Akira Ransomware
669CB358392A71DD68F684C0BA68DF2106E6DB36,SHA1,Imported from STIX CISA Akira Ransomware
58359209E215A9FC0DAFD14039121398559790DBA9AA2398C457348EE1CB8A4D,SHA256,Imported from STIX CISA Akira Ransomware
